ID,Answer
0,[CLS]
1,[CLS]
2,[CLS]
3,[CLS]
4,[CLS]
5,溫州人
6,[CLS]
7,[CLS]
8,[CLS]
9,[CLS]
10,文化教育界
11,豐臣秀吉
12,[CLS]
13,1962年世界盃
14,[CLS]
15,[CLS]
16,[CLS]
17,[CLS]
18,[CLS]
19,[CLS]
20,[CLS]
21,[CLS]
22,董必武
23,[CLS]
24,[CLS]
25,仔細觀察大自然
26,狗肉
27,[CLS]
28,[CLS]
29,立法
30,[CLS]
31,[CLS]
32,[CLS]
33,[CLS]
34,[CLS]
35,[CLS]
36,[CLS]
37,[CLS]
38,[CLS]
39,[CLS]
40,西方商業模式
41,[CLS]
42,[CLS]
43,[CLS]
44,[CLS]
45,烏蘇里江
46,[CLS]
47,瑞士
48,[CLS]
49,三成
50,[CLS]
51,[CLS]
52,[CLS]
53,[CLS]
54,[CLS]
55,[CLS]
56,[CLS]
57,[CLS]
58,[CLS]
59,[CLS]
60,[CLS]
61,[CLS]
62,[CLS]
63,83.4%
64,[CLS]
65,[CLS]
66,[CLS]
67,[CLS]
68,[CLS]
69,[CLS]
70,[CLS]
71,[CLS]
72,[CLS]
73,[CLS]
74,[CLS]
75,[CLS]
76,[CLS]
77,[CLS]
78,公元245年初
79,[CLS]
80,[CLS]
81,英格蘭聯賽盃
82,[CLS]
83,[CLS]
84,[CLS]
85,[CLS]
86,[CLS]
87,[CLS]
88,[CLS]
89,[CLS]
90,洛杉磯湖人
91,[CLS]
92,[CLS]
93,[CLS]
94,[CLS]
95,[CLS]
96,[CLS]
97,[CLS]
98,[CLS]
99,[CLS]
100,[CLS]
101,[CLS]
102,上海學府中央區
103,[CLS]
104,[CLS]
105,布拉格之春
106,[CLS]
107,[CLS]
108,[CLS]
109,[CLS]
110,[CLS]
111,[CLS]
112,[CLS]
113,[CLS]
114,[CLS]
115,[CLS]
116,1969
117,[CLS]
118,[CLS]
119,[CLS]
120,[CLS]
121,[CLS]
122,[CLS]
123,[CLS]
124,[CLS]
125,1956年
126,[CLS]
127,[CLS]
128,[CLS]
129,[CLS]
130,[CLS]
131,[CLS]
132,[CLS]
133,[CLS]
134,[CLS]
135,[CLS]
136,[CLS]
137,[CLS]
138,[CLS]
139,[CLS]
140,1946
141,[CLS]
142,[CLS]
143,[CLS]
144,[CLS]
145,考試
146,[CLS]
147,[CLS]
148,[CLS]
149,[CLS]
150,[CLS]
151,20世紀
152,[CLS]
153,[CLS]
154,[CLS]
155,[CLS]
156,[CLS]
157,[CLS]
158,[CLS]
159,[CLS]
160,[CLS]
161,[CLS]
162,[CLS]
163,[CLS]
164,[CLS]
165,[CLS]
166,[CLS]
167,[CLS]
168,[CLS]
169,[CLS]
170,[CLS]
171,[CLS]
172,[CLS]
173,[CLS]
174,[CLS]
175,[CLS]
176,[CLS]
177,[CLS]
178,[CLS]
179,[CLS]
180,[CLS]
181,[CLS]
182,[CLS]
183,[CLS]
184,[CLS]
185,[CLS]
186,[CLS]
187,[CLS]
188,[CLS]
189,孫文
190,[CLS]
191,淮河流域
192,[CLS]
193,[CLS]
194,[CLS]
195,[CLS]
196,[CLS]
197,[CLS]
198,[CLS]
199,[CLS]
200,[CLS]
201,[CLS]
202,[CLS]
203,[CLS]
204,[CLS]
205,[CLS]
206,[CLS]
207,[CLS]
208,[CLS]
209,[CLS]
210,[CLS]
211,[CLS]
212,[CLS]
213,[CLS]
214,[CLS]
215,白堊紀中期
216,[CLS]
217,[CLS]
218,[CLS]
219,[CLS]
220,[CLS]
221,[CLS]
222,[CLS]
223,補庫當天下午
224,[CLS]
225,[CLS]
226,[CLS]
227,1701年
228,574800人
229,[CLS]
230,網際網路泡沫破滅
231,[CLS]
232,[CLS]
233,[CLS]
234,第七
235,[CLS]
236,[CLS]
237,[CLS]
238,[CLS]
239,[CLS]
240,[CLS]
241,[CLS]
242,[CLS]
243,[CLS]
244,[CLS]
245,[CLS]
246,5800日元左右
247,[CLS]
248,約188萬公里
249,[CLS]
250,[CLS]
251,[CLS]
252,[CLS]
253,[CLS]
